"행정구역","2024년_계_총인구수","2024년_계_연령구간인구수","2024년_계_0~9세","2024년_계_10~19세","2024년_계_20~29세","2024년_계_30~39세","2024년_계_40~49세","2024년_계_50~59세","2024년_계_60~69세","2024년_계_70~79세","2024년_계_80~89세","2024년_계_90~99세","2024년_계_100세 이상"
"서울특별시 관악구 (1162000000)","477,812","477,812","15,023","24,096","103,855","90,812","59,200","65,224","60,569","38,976","18,024","1,983","50"
"서울특별시 관악구 보라매동(1162052500)","23,337","23,337","784","1,236","4,226","4,127","2,980","3,277","3,354","2,187","1,030","133","3"
"서울특별시 관악구 청림동(1162054500)","14,547","14,547","997","1,014","1,589","2,367","2,174","2,300","2,036","1,277","688","103","2"
"서울특별시 관악구 성현동(1162056500)","27,922","27,922","1,467","2,517","3,462","3,477","4,250","4,765","3,966","2,613","1,272","128","5"
"서울특별시 관악구 행운동(1162057500)","28,683","28,683","794","1,228","7,292","6,204","3,345","3,382","3,231","2,172","939","94","2"
"서울특별시 관악구 낙성대동(1162058500)","17,403","17,403","491","762","5,717","4,122","1,760","1,693","1,383","920","501","52","2"
"서울특별시 관악구 청룡동(1162059500)","35,865","35,865","987","1,397","11,513","7,631","3,653","3,882","3,374","2,312","995","118","3"
"서울특별시 관악구 은천동(1162060500)","31,863","31,863","1,413","2,397","4,944","5,094","4,487","4,772","4,359","2,933","1,319","142","3"
"서울특별시 관악구 중앙동(1162061500)","15,151","15,151","299","518","4,404","3,309","1,592","1,637","1,613","1,137","586","55","1"
"서울특별시 관악구 인헌동(1162062500)","25,009","25,009","725","1,235","5,558","5,013","3,075","3,415","2,996","1,972","940","78","2"
"서울특별시 관악구 남현동(1162063000)","17,507","17,507","665","688","3,564","3,810","2,087","2,326","2,266","1,412","612","75","2"
"서울특별시 관악구 서원동(1162064500)","22,958","22,958","454","737","6,247","5,306","2,605","2,652","2,507","1,612","770","67","1"
"서울특별시 관악구 신원동(1162065500)","17,376","17,376","332","663","3,960","3,504","1,981","2,332","2,194","1,524","804","79","3"
"서울특별시 관악구 서림동(1162066500)","23,209","23,209","553","903","5,388","4,862","3,046","3,024","2,795","1,748","792","93","5"
"서울특별시 관악구 신사동(1162068500)","22,171","22,171","471","890","5,868","4,313","2,435","2,944","2,653","1,699","813","83","2"
"서울특별시 관악구 신림동(1162069500)","22,969","22,969","224","394","8,624","6,592","2,467","1,801","1,468","933","425","40","1"
"서울특별시 관악구 난향동(1162071500)","14,618","14,618","753","1,360","1,545","1,587","2,364","2,763","2,210","1,384","582","69","1"
"서울특별시 관악구 조원동(1162072500)","19,605","19,605","681","775","4,240","4,540","2,368","2,380","2,446","1,466","632","73","4"
"서울특별시 관악구 대학동(1162073500)","24,378","24,378","492","868","6,422","5,144","3,284","3,298","2,627","1,448","714","79","2"
"서울특별시 관악구 삼성동(1162074500)","19,518","19,518","544","1,072","1,951","2,151","2,330","3,555","3,956","2,549","1,244","164","2"
"서울특별시 관악구 미성동(1162076500)","28,924","28,924","1,153","1,958","4,067","4,158","3,816","4,727","4,753","2,983","1,187","120","2"
"서울특별시 관악구 난곡동(1162077500)","24,799","24,799","744","1,484","3,274","3,501","3,101","4,299","4,382","2,695","1,179","138","2"
